,Training datasets,
Protein_ID,Cysteine_ positions,Pos & Neg samples
sp|P21912|SDHB_HUMAN,101,Non-SNO
sp|P21912|SDHB_HUMAN,113,Non-SNO
sp|P21912|SDHB_HUMAN,186,Non-SNO
sp|P21912|SDHB_HUMAN,189,Non-SNO
sp|P21912|SDHB_HUMAN,191,Non-SNO
sp|P21912|SDHB_HUMAN,192,Non-SNO
sp|P21912|SDHB_HUMAN,196,Non-SNO
sp|P21912|SDHB_HUMAN,243,Non-SNO
sp|P21912|SDHB_HUMAN,253,Non-SNO
sp|Q91WS0|CISD1_MOUSE,74,Non-SNO
sp|Q8K2Y7|RM47_MOUSE,10,Non-SNO
sp|Q8K2Y7|RM47_MOUSE,21,Non-SNO
sp|Q8K2Y7|RM47_MOUSE,34,Non-SNO
sp|Q8K2Y7|RM47_MOUSE,54,Non-SNO
sp|Q6P1F6|2ABA_MOUSE,239,Non-SNO
sp|Q6P1F6|2ABA_MOUSE,254,Non-SNO
sp|Q6P1F6|2ABA_MOUSE,262,Non-SNO
sp|Q6P1F6|2ABA_MOUSE,334,Non-SNO
sp|Q6P1F6|2ABA_MOUSE,341,Non-SNO
sp|Q6P1F6|2ABA_MOUSE,348,Non-SNO
sp|Q6P1F6|2ABA_MOUSE,349,Non-SNO
sp|Q6P1F6|2ABA_MOUSE,398,Non-SNO
sp|P52631|STAT3_RAT,108,Non-SNO
sp|P52631|STAT3_RAT,251,Non-SNO
sp|P52631|STAT3_RAT,328,Non-SNO
sp|P52631|STAT3_RAT,367,Non-SNO
sp|P52631|STAT3_RAT,418,Non-SNO
sp|P52631|STAT3_RAT,426,Non-SNO
sp|P52631|STAT3_RAT,468,Non-SNO
sp|P52631|STAT3_RAT,542,Non-SNO
sp|P52631|STAT3_RAT,550,Non-SNO
sp|P52631|STAT3_RAT,687,Non-SNO
sp|P52631|STAT3_RAT,712,Non-SNO
sp|P52631|STAT3_RAT,718,Non-SNO
sp|P52631|STAT3_RAT,765,Non-SNO
sp|P50453|SPB9_HUMAN,20,Non-SNO
sp|P50453|SPB9_HUMAN,30,Non-SNO
sp|P50453|SPB9_HUMAN,98,Non-SNO
sp|P50453|SPB9_HUMAN,108,Non-SNO
sp|P50453|SPB9_HUMAN,259,Non-SNO
sp|P50453|SPB9_HUMAN,335,Non-SNO
sp|P50453|SPB9_HUMAN,341,Non-SNO
sp|P50453|SPB9_HUMAN,342,Non-SNO
sp|P50453|SPB9_HUMAN,370,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,18,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,87,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,173,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,179,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,260,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,313,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,363,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,460,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,503,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,540,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,556,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,604,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,652,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,680,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,725,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,732,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,819,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,903,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,977,Non-SNO
sp|Q3U1J4|DDB1_MOUSE,1008,Non-SNO
sp|Q6P9V9|TBA1B_RAT,4,Non-SNO
sp|Q6P9V9|TBA1B_RAT,20,Non-SNO
sp|Q6P9V9|TBA1B_RAT,25,Non-SNO
sp|Q6P9V9|TBA1B_RAT,129,Non-SNO
sp|Q6P9V9|TBA1B_RAT,200,Non-SNO
sp|Q6P9V9|TBA1B_RAT,213,Non-SNO
sp|Q6P9V9|TBA1B_RAT,305,Non-SNO
sp|Q6P9V9|TBA1B_RAT,315,Non-SNO
sp|Q6P9V9|TBA1B_RAT,316,Non-SNO
sp|Q06587|RING1_HUMAN,48,Non-SNO
sp|Q06587|RING1_HUMAN,51,Non-SNO
sp|Q06587|RING1_HUMAN,64,Non-SNO
sp|Q06587|RING1_HUMAN,69,Non-SNO
sp|Q06587|RING1_HUMAN,72,Non-SNO
sp|Q06587|RING1_HUMAN,84,Non-SNO
sp|Q06587|RING1_HUMAN,87,Non-SNO
sp|Q06587|RING1_HUMAN,279,Non-SNO
sp|Q06587|RING1_HUMAN,332,Non-SNO
sp|Q9QY76|VAPB_MOUSE,53,Non-SNO
sp|Q9QY76|VAPB_MOUSE,173,Non-SNO
sp|P51787|KCNQ1_HUMAN,34,Non-SNO
sp|P51787|KCNQ1_HUMAN,122,Non-SNO
sp|P51787|KCNQ1_HUMAN,136,Non-SNO
sp|P51787|KCNQ1_HUMAN,180,Non-SNO
sp|P51787|KCNQ1_HUMAN,214,Non-SNO
sp|P51787|KCNQ1_HUMAN,331,Non-SNO
sp|P51787|KCNQ1_HUMAN,381,Non-SNO
sp|P51787|KCNQ1_HUMAN,642,Non-SNO
sp|O14508|SOCS2_HUMAN,133,Non-SNO
sp|O14508|SOCS2_HUMAN,174,Non-SNO
sp|Q8CIE6|COPA_MOUSE,85,Non-SNO
sp|Q8CIE6|COPA_MOUSE,127,Non-SNO
sp|Q8CIE6|COPA_MOUSE,129,Non-SNO
sp|Q8CIE6|COPA_MOUSE,140,Non-SNO
sp|Q8CIE6|COPA_MOUSE,380,Non-SNO
sp|Q8CIE6|COPA_MOUSE,453,Non-SNO
sp|Q8CIE6|COPA_MOUSE,514,Non-SNO
sp|Q8CIE6|COPA_MOUSE,580,Non-SNO
sp|Q8CIE6|COPA_MOUSE,585,Non-SNO
sp|Q8CIE6|COPA_MOUSE,655,Non-SNO
sp|Q8CIE6|COPA_MOUSE,673,Non-SNO
sp|Q8CIE6|COPA_MOUSE,693,Non-SNO
sp|Q8CIE6|COPA_MOUSE,752,Non-SNO
sp|Q8CIE6|COPA_MOUSE,921,Non-SNO
sp|Q8CIE6|COPA_MOUSE,975,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1013,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1057,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1065,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1085,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1148,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1156,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1169,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1185,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1191,Non-SNO
sp|Q8CIE6|COPA_MOUSE,1201,Non-SNO
sp|P54819|KAD2_HUMAN,232,Non-SNO
sp|Q9JKX6|NUDT5_MOUSE,90,Non-SNO
sp|Q9JKX6|NUDT5_MOUSE,125,Non-SNO
sp|Q9JKX6|NUDT5_MOUSE,130,Non-SNO
sp|Q9JKX6|NUDT5_MOUSE,138,Non-SNO
sp|P50462|CSRP3_MOUSE,10,Non-SNO
sp|P50462|CSRP3_MOUSE,13,Non-SNO
sp|P50462|CSRP3_MOUSE,25,Non-SNO
sp|P50462|CSRP3_MOUSE,34,Non-SNO
sp|P50462|CSRP3_MOUSE,37,Non-SNO
sp|P50462|CSRP3_MOUSE,40,Non-SNO
sp|P50462|CSRP3_MOUSE,58,Non-SNO
sp|P50462|CSRP3_MOUSE,61,Non-SNO
sp|P50462|CSRP3_MOUSE,144,Non-SNO
sp|P50462|CSRP3_MOUSE,147,Non-SNO
sp|P50462|CSRP3_MOUSE,150,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,18,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,21,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,34,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,39,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,42,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,53,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,83,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,90,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,116,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,120,Non-SNO
sp|Q9H4P4|RNF41_HUMAN,291,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,21,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,27,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,76,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,85,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,110,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,137,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,153,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,189,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,191,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,226,Non-SNO
sp|Q3U5Q7|CMPK2_MOUSE,287,Non-SNO
sp|P33947|ERD22_HUMAN,70,Non-SNO
sp|P33947|ERD22_HUMAN,192,Non-SNO
sp|Q8JZQ2|AFG32_MOUSE,5,Non-SNO
sp|Q8JZQ2|AFG32_MOUSE,14,Non-SNO
sp|Q8JZQ2|AFG32_MOUSE,27,Non-SNO
sp|Q8JZQ2|AFG32_MOUSE,35,Non-SNO
sp|Q8JZQ2|AFG32_MOUSE,66,Non-SNO
sp|Q8JZQ2|AFG32_MOUSE,312,Non-SNO
sp|Q8JZQ2|AFG32_MOUSE,401,Non-SNO
sp|Q8JZQ2|AFG32_MOUSE,524,Non-SNO
sp|O55070|DNSL3_MOUSE,29,Non-SNO
sp|O55070|DNSL3_MOUSE,57,Non-SNO
sp|O55070|DNSL3_MOUSE,199,Non-SNO
sp|O55070|DNSL3_MOUSE,236,Non-SNO
sp|O55070|DNSL3_MOUSE,244,Non-SNO
sp|Q9UGI8|TES_HUMAN,22,Non-SNO
sp|Q9UGI8|TES_HUMAN,25,Non-SNO
sp|Q9UGI8|TES_HUMAN,29,Non-SNO
sp|Q9UGI8|TES_HUMAN,41,Non-SNO
sp|Q9UGI8|TES_HUMAN,44,Non-SNO
sp|Q9UGI8|TES_HUMAN,46,Non-SNO
sp|Q9UGI8|TES_HUMAN,164,Non-SNO
sp|Q9UGI8|TES_HUMAN,196,Non-SNO
sp|Q9UGI8|TES_HUMAN,236,Non-SNO
sp|Q9UGI8|TES_HUMAN,239,Non-SNO
sp|Q9UGI8|TES_HUMAN,265,Non-SNO
sp|Q9UGI8|TES_HUMAN,268,Non-SNO
sp|Q9UGI8|TES_HUMAN,271,Non-SNO
sp|Q9UGI8|TES_HUMAN,289,Non-SNO
sp|Q9UGI8|TES_HUMAN,294,Non-SNO
sp|Q9UGI8|TES_HUMAN,301,Non-SNO
sp|Q9UGI8|TES_HUMAN,304,Non-SNO
sp|Q9UGI8|TES_HUMAN,327,Non-SNO
sp|Q9UGI8|TES_HUMAN,328,Non-SNO
sp|Q9UGI8|TES_HUMAN,331,Non-SNO
sp|Q9UGI8|TES_HUMAN,349,Non-SNO
sp|Q9UGI8|TES_HUMAN,352,Non-SNO
sp|Q9UGI8|TES_HUMAN,361,Non-SNO
sp|Q9UGI8|TES_HUMAN,364,Non-SNO
sp|Q9UGI8|TES_HUMAN,388,Non-SNO
sp|Q9UGI8|TES_HUMAN,391,Non-SNO
sp|Q9UGI8|TES_HUMAN,393,Non-SNO
sp|Q9UGI8|TES_HUMAN,394,Non-SNO
sp|Q9UGI8|TES_HUMAN,397,Non-SNO
sp|Q9UGI8|TES_HUMAN,412,Non-SNO
sp|Q9UGI8|TES_HUMAN,416,Non-SNO
sp|Q12879|NMDE1_HUMAN,231,Non-SNO
sp|Q12879|NMDE1_HUMAN,429,Non-SNO
sp|Q12879|NMDE1_HUMAN,436,Non-SNO
sp|Q12879|NMDE1_HUMAN,455,Non-SNO
sp|Q12879|NMDE1_HUMAN,456,Non-SNO
sp|Q12879|NMDE1_HUMAN,460,Non-SNO
sp|Q12879|NMDE1_HUMAN,745,Non-SNO
sp|Q12879|NMDE1_HUMAN,800,Non-SNO
sp|Q12879|NMDE1_HUMAN,848,Non-SNO
sp|Q12879|NMDE1_HUMAN,853,Non-SNO
sp|Q12879|NMDE1_HUMAN,870,Non-SNO
sp|Q12879|NMDE1_HUMAN,1070,Non-SNO
sp|Q12879|NMDE1_HUMAN,1098,Non-SNO
sp|Q12879|NMDE1_HUMAN,1214,Non-SNO
sp|Q12879|NMDE1_HUMAN,1217,Non-SNO
sp|Q12879|NMDE1_HUMAN,1236,Non-SNO
sp|Q12879|NMDE1_HUMAN,1239,Non-SNO
sp|Q12879|NMDE1_HUMAN,1382,Non-SNO
sp|Q12879|NMDE1_HUMAN,1412,Non-SNO
sp|Q12879|NMDE1_HUMAN,1448,Non-SNO
sp|Q9D0T1|NH2L1_MOUSE,73,Non-SNO
sp|Q9D0T1|NH2L1_MOUSE,93,Non-SNO
sp|Q9ER35|FN3K_MOUSE,24,Non-SNO
sp|Q9ER35|FN3K_MOUSE,150,Non-SNO
sp|Q9ER35|FN3K_MOUSE,151,Non-SNO
sp|Q08752|PPID_HUMAN,52,Non-SNO
sp|Q08752|PPID_HUMAN,71,Non-SNO
sp|Q08752|PPID_HUMAN,176,Non-SNO
sp|Q08752|PPID_HUMAN,181,Non-SNO
sp|Q08752|PPID_HUMAN,296,Non-SNO
sp|P54823|DDX6_MOUSE,102,Non-SNO
sp|P54823|DDX6_MOUSE,184,Non-SNO
sp|P54823|DDX6_MOUSE,341,Non-SNO
sp|P54823|DDX6_MOUSE,361,Non-SNO
sp|P54823|DDX6_MOUSE,385,Non-SNO
sp|P54823|DDX6_MOUSE,390,Non-SNO
sp|P54822|PUR8_MOUSE,98,Non-SNO
sp|P54822|PUR8_MOUSE,99,Non-SNO
sp|P54822|PUR8_MOUSE,113,Non-SNO
sp|P54822|PUR8_MOUSE,172,Non-SNO
sp|P54822|PUR8_MOUSE,173,Non-SNO
sp|P54822|PUR8_MOUSE,180,Non-SNO
sp|P54822|PUR8_MOUSE,304,Non-SNO
sp|P54822|PUR8_MOUSE,305,Non-SNO
sp|P54822|PUR8_MOUSE,340,Non-SNO
sp|P54822|PUR8_MOUSE,399,Non-SNO
sp|P54822|PUR8_MOUSE,483,Non-SNO
sp|O82663|SDHA1_ARATH,4,Non-SNO
sp|O82663|SDHA1_ARATH,77,Non-SNO
sp|O82663|SDHA1_ARATH,131,Non-SNO
sp|O82663|SDHA1_ARATH,177,Non-SNO
sp|O82663|SDHA1_ARATH,179,Non-SNO
sp|O82663|SDHA1_ARATH,220,Non-SNO
sp|O82663|SDHA1_ARATH,261,Non-SNO
sp|O82663|SDHA1_ARATH,294,Non-SNO
sp|O82663|SDHA1_ARATH,433,Non-SNO
sp|O82663|SDHA1_ARATH,457,Non-SNO
sp|Q07417|ACADS_MOUSE,45,Non-SNO
sp|Q07417|ACADS_MOUSE,109,Non-SNO
sp|O35433|TRPV1_RAT,21,Non-SNO
sp|O35433|TRPV1_RAT,31,Non-SNO
sp|O35433|TRPV1_RAT,63,Non-SNO
sp|O35433|TRPV1_RAT,73,Non-SNO
sp|O35433|TRPV1_RAT,126,Non-SNO
sp|O35433|TRPV1_RAT,157,Non-SNO
sp|O35433|TRPV1_RAT,257,Non-SNO
sp|O35433|TRPV1_RAT,362,Non-SNO
sp|O35433|TRPV1_RAT,386,Non-SNO
sp|O35433|TRPV1_RAT,390,Non-SNO
sp|O35433|TRPV1_RAT,442,Non-SNO
sp|O35433|TRPV1_RAT,578,Non-SNO
sp|O35433|TRPV1_RAT,634,Non-SNO
sp|O35433|TRPV1_RAT,715,Non-SNO
sp|O35433|TRPV1_RAT,741,Non-SNO
sp|O35433|TRPV1_RAT,766,Non-SNO
sp|O09173|HGD_MOUSE,35,Non-SNO
sp|O09173|HGD_MOUSE,51,Non-SNO
sp|O09173|HGD_MOUSE,120,Non-SNO
sp|O09173|HGD_MOUSE,146,Non-SNO
sp|O09173|HGD_MOUSE,180,Non-SNO
sp|O09173|HGD_MOUSE,256,Non-SNO
sp|O09173|HGD_MOUSE,338,Non-SNO
sp|O09173|HGD_MOUSE,416,Non-SNO
sp|O09173|HGD_MOUSE,418,Non-SNO
sp|O09173|HGD_MOUSE,426,Non-SNO
sp|Q8C025|CHPT1_MOUSE,85,Non-SNO
sp|Q8C025|CHPT1_MOUSE,100,Non-SNO
sp|Q8C025|CHPT1_MOUSE,124,Non-SNO
sp|Q8C025|CHPT1_MOUSE,135,Non-SNO
sp|Q8C025|CHPT1_MOUSE,163,Non-SNO
sp|Q8C025|CHPT1_MOUSE,173,Non-SNO
sp|Q8C025|CHPT1_MOUSE,240,Non-SNO
sp|Q8C025|CHPT1_MOUSE,295,Non-SNO
sp|Q8C025|CHPT1_MOUSE,303,Non-SNO
sp|Q8C025|CHPT1_MOUSE,370,Non-SNO
sp|Q9DB60|PGFS_MOUSE,34,Non-SNO
sp|Q9DB60|PGFS_MOUSE,44,Non-SNO
sp|Q9DB60|PGFS_MOUSE,47,Non-SNO
sp|Q9DB60|PGFS_MOUSE,187,Non-SNO
sp|Q9DB60|PGFS_MOUSE,194,Non-SNO
sp|Q9DB60|PGFS_MOUSE,199,Non-SNO
sp|Q9WVA3|BUB3_MOUSE,62,Non-SNO
sp|Q9WVA3|BUB3_MOUSE,101,Non-SNO
sp|Q9WVA3|BUB3_MOUSE,105,Non-SNO
sp|Q9WVA3|BUB3_MOUSE,184,Non-SNO
sp|Q9WVA3|BUB3_MOUSE,223,Non-SNO
sp|Q9WVA3|BUB3_MOUSE,270,Non-SNO
sp|P40237|CD82_MOUSE,5,Non-SNO
sp|P40237|CD82_MOUSE,74,Non-SNO
sp|P40237|CD82_MOUSE,83,Non-SNO
sp|P40237|CD82_MOUSE,149,Non-SNO
sp|P40237|CD82_MOUSE,150,Non-SNO
sp|P40237|CD82_MOUSE,193,Non-SNO
sp|P40237|CD82_MOUSE,215,Non-SNO
sp|P40237|CD82_MOUSE,234,Non-SNO
sp|P40237|CD82_MOUSE,250,Non-SNO
sp|P40237|CD82_MOUSE,252,Non-SNO
sp|Q9WVA4|TAGL2_MOUSE,38,Non-SNO
sp|Q9WVA4|TAGL2_MOUSE,124,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,62,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,166,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,181,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,215,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,220,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,224,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,316,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,520,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,618,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,631,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,663,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,732,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,767,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,777,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,793,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,878,Non-SNO
sp|Q9EQQ9|OGA_MOUSE,896,Non-SNO
sp|P0ACQ4|OXYR_ECOLI,25,Non-SNO
sp|P0ACQ4|OXYR_ECOLI,143,Non-SNO
sp|P0ACQ4|OXYR_ECOLI,180,Non-SNO
sp|P0ACQ4|OXYR_ECOLI,208,Non-SNO
sp|P0ACQ4|OXYR_ECOLI,259,Non-SNO
sp|P30427|PLEC_RAT,68,Non-SNO
sp|P30427|PLEC_RAT,126,Non-SNO
sp|P30427|PLEC_RAT,323,Non-SNO
sp|P30427|PLEC_RAT,462,Non-SNO
sp|P30427|PLEC_RAT,536,Non-SNO
sp|P30427|PLEC_RAT,551,Non-SNO
sp|P30427|PLEC_RAT,733,Non-SNO
sp|P30427|PLEC_RAT,851,Non-SNO
sp|P30427|PLEC_RAT,852,Non-SNO
sp|P30427|PLEC_RAT,853,Non-SNO
sp|P30427|PLEC_RAT,891,Non-SNO
sp|P30427|PLEC_RAT,953,Non-SNO
sp|P30427|PLEC_RAT,968,Non-SNO
sp|P30427|PLEC_RAT,995,Non-SNO
sp|P30427|PLEC_RAT,1101,Non-SNO
sp|P30427|PLEC_RAT,1122,Non-SNO
sp|P30427|PLEC_RAT,1125,Non-SNO
sp|P30427|PLEC_RAT,1139,Non-SNO
sp|P30427|PLEC_RAT,1159,Non-SNO
sp|P30427|PLEC_RAT,1408,Non-SNO
sp|P30427|PLEC_RAT,1693,Non-SNO
sp|P30427|PLEC_RAT,3011,Non-SNO
sp|P30427|PLEC_RAT,3113,Non-SNO
sp|P30427|PLEC_RAT,3339,Non-SNO
sp|P30427|PLEC_RAT,3496,Non-SNO
sp|P30427|PLEC_RAT,3670,Non-SNO
sp|P30427|PLEC_RAT,4004,Non-SNO
sp|P30427|PLEC_RAT,4074,Non-SNO
sp|P30427|PLEC_RAT,4248,Non-SNO
sp|P30427|PLEC_RAT,4257,Non-SNO
sp|P30427|PLEC_RAT,4457,Non-SNO
sp|P30427|PLEC_RAT,4497,Non-SNO
sp|P30427|PLEC_RAT,4577,Non-SNO
sp|Q9Z0N1|IF2G_MOUSE,96,Non-SNO
sp|Q9Z0N1|IF2G_MOUSE,135,Non-SNO
sp|Q9Z0N1|IF2G_MOUSE,236,Non-SNO
sp|Q9Z0N1|IF2G_MOUSE,311,Non-SNO
sp|P33937|NAPA_ECOLI,46,Non-SNO
sp|P33937|NAPA_ECOLI,49,Non-SNO
sp|P33937|NAPA_ECOLI,53,Non-SNO
sp|P33937|NAPA_ECOLI,81,Non-SNO
sp|P33937|NAPA_ECOLI,179,Non-SNO
sp|P33937|NAPA_ECOLI,199,Non-SNO
sp|P33937|NAPA_ECOLI,402,Non-SNO
sp|P33937|NAPA_ECOLI,414,Non-SNO
sp|P33937|NAPA_ECOLI,442,Non-SNO
sp|P33937|NAPA_ECOLI,480,Non-SNO
sp|P33937|NAPA_ECOLI,821,Non-SNO
sp|Q9QXX4|CMC2_MOUSE,86,Non-SNO
sp|Q9QXX4|CMC2_MOUSE,202,Non-SNO
sp|Q9QXX4|CMC2_MOUSE,438,Non-SNO
sp|Q9QXX4|CMC2_MOUSE,504,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,12,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,82,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,127,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,309,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,397,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,406,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,458,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,471,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,520,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,638,Non-SNO
sp|Q8CIB5|FERM2_MOUSE,643,Non-SNO
sp|P52657|T2AG_HUMAN,68,Non-SNO
sp|P16125|LDHB_MOUSE,132,Non-SNO
sp|P16125|LDHB_MOUSE,186,Non-SNO
sp|Q91X91|NADC_MOUSE,27,Non-SNO
sp|Q91X91|NADC_MOUSE,69,Non-SNO
sp|Q91X91|NADC_MOUSE,202,Non-SNO
sp|Q91X91|NADC_MOUSE,260,Non-SNO
sp|P20618|PSB1_HUMAN,71,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,200,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,222,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,255,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,343,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,377,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,392,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,464,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,468,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,498,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,580,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,643,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,647,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,655,Non-SNO
sp|Q6NUQ4|TM214_HUMAN,670,Non-SNO
sp|Q9JKV1|ADRM1_MOUSE,60,Non-SNO
sp|Q9JKV1|ADRM1_MOUSE,80,Non-SNO
sp|Q9JKV1|ADRM1_MOUSE,121,Non-SNO
sp|Q9JKV1|ADRM1_MOUSE,127,Non-SNO
sp|Q9JKV1|ADRM1_MOUSE,357,Non-SNO
sp|Q9H0F7|ARL6_HUMAN,22,Non-SNO
sp|Q9H0F7|ARL6_HUMAN,160,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,9,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,48,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,54,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,61,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,109,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,222,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,329,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,342,Non-SNO
sp|Q9DAT5|MTU1_MOUSE,377,Non-SNO
sp|Q91X97|NCALD_MOUSE,38,Non-SNO
sp|P53994|RAB2A_MOUSE,211,Non-SNO
sp|P53994|RAB2A_MOUSE,212,Non-SNO
sp|O95149|SPN1_HUMAN,124,Non-SNO
sp|O95149|SPN1_HUMAN,148,Non-SNO
sp|O95149|SPN1_HUMAN,174,Non-SNO
sp|O95149|SPN1_HUMAN,190,Non-SNO
sp|O95149|SPN1_HUMAN,237,Non-SNO
sp|O95149|SPN1_HUMAN,243,Non-SNO
sp|Q60930|VDAC2_MOUSE,4,Non-SNO
sp|Q60930|VDAC2_MOUSE,5,Non-SNO
sp|Q60930|VDAC2_MOUSE,9,Non-SNO
sp|Q60930|VDAC2_MOUSE,14,Non-SNO
sp|Q60930|VDAC2_MOUSE,48,Non-SNO
sp|Q60930|VDAC2_MOUSE,77,Non-SNO
sp|Q60930|VDAC2_MOUSE,134,Non-SNO
sp|Q60930|VDAC2_MOUSE,139,Non-SNO
sp|Q60930|VDAC2_MOUSE,211,Non-SNO
sp|Q60930|VDAC2_MOUSE,228,Non-SNO
sp|P30416|FKBP4_MOUSE,103,Non-SNO
sp|P30416|FKBP4_MOUSE,107,Non-SNO
sp|P30416|FKBP4_MOUSE,189,Non-SNO
sp|P30416|FKBP4_MOUSE,202,Non-SNO
sp|P30416|FKBP4_MOUSE,342,Non-SNO
sp|Q60932|VDAC1_MOUSE,2,Non-SNO
sp|P31749|AKT1_HUMAN,60,Non-SNO
sp|P31749|AKT1_HUMAN,77,Non-SNO
sp|P31749|AKT1_HUMAN,344,Non-SNO
sp|P31749|AKT1_HUMAN,460,Non-SNO
sp|O95140|MFN2_HUMAN,8,Non-SNO
sp|O95140|MFN2_HUMAN,132,Non-SNO
sp|O95140|MFN2_HUMAN,188,Non-SNO
sp|O95140|MFN2_HUMAN,217,Non-SNO
sp|O95140|MFN2_HUMAN,281,Non-SNO
sp|O95140|MFN2_HUMAN,348,Non-SNO
sp|O95140|MFN2_HUMAN,482,Non-SNO
sp|O95140|MFN2_HUMAN,521,Non-SNO
sp|O95140|MFN2_HUMAN,530,Non-SNO
sp|O95140|MFN2_HUMAN,534,Non-SNO
